date,section_name,headline,abstract,lead_paragraph,keywords,word_count
2021-07-01,Style,Who Is rg_bunny1: An Instagram Whodunit,"Doping out the identity of an obsessive, enigmatic Instagram poster has become a favored pastime of the scrolling classes.","It is the parlor game of the pandemic. Among a certain segment of the scrolling classes, art and literary division, firing up their tablets and smartphones each morning has taken on aspects of a whodunit. Rifling through Instagram feeds, they register with half yawns the sponsored posts and thirst traps, the Throwback Thursday selfies and banal memes of cats. All the while they are waiting to happen upon the latest clue from a particular account.","['Art', 'Photography', 'Social Media']",2108
2021-07-01,Today’s Paper,"Quotation of the Day: As Condo Boards Squabble, Disaster May Loom","Quotation of the Day for Thursday, July 1, 2021.",“Just because the roof doesn’t send a bill every month doesn’t mean that it doesn’t need to be paid.”,[],47
2021-07-01,World,"Israel’s New Leaders Tilt Right With Settler Deal, Hinting at Approach",Prime Minister Naftali Bennett’s decision about an unauthorized settlement has provided an early idea of how he hopes to manage his unlikely coalition.,"JERUSALEM — Not a lot binds the new Israeli government. It’s an unwieldy and incoherent coalition of right-wingers, leftists, centrists and Islamists that many fear won’t survive more than a few months, let alone years.","['Israeli Settlements', 'Palestinians', 'Politics and Government']",1286
2021-07-01,Theater,Generational Divides Emerge Onstage in Germany,"At newly reopened playhouses, once-legendary and younger directors take very different approaches to their mammoth productions.","BERLIN — Theatergoers know what to expect from a Frank Castorf production. The director, who helped shape the last 30 years of German theater, favors a deconstructive approach to the classics, reams of dialogue barked like manifestoes and manic performances over a marathon running time.","['Theater', 'Actors and Actresses']",1186
2021-07-01,U.S.,President Biden meets with rescue workers during his visit to Florida.,"Mr. Biden and his wife, Jill Biden, are scheduled to meet with families of the victims of the condo collapse in Surfside, Fla.",President Biden pledged ongoing help from the federal government as he arrived  in Florida Thursday to resume his role as consoler in chief following the collapse of the Champlain Towers South condo building which has left at least 18 people dead and as many as 145 unaccounted for.,"['Surfside, Fla, Building Collapse (2021)']",707
2021-07-01,Well,"Weekly Health Quiz: Washing Fruit, a New Cancer Treatment and the Delta Variant",Test your knowledge of this week’s health news.,Test your knowledge of this week’s health news.,"['Coronavirus (2019-nCoV)', 'Prostate Gland', 'Fruit', 'Vaccination and Immunization', 'Medicine and Health']",0
2021-07-01,Books,Dana Spiotta Loves Coming Across Jokes in Really Old Books,"“I feel such connection to the human who made it, which delights and moves me. If you can write a joke that is still funny in 100 years, you are great.”","“I feel such connection to the human who made it, which delights and moves me,” says the novelist, whose new book is “Wayward.” “If you can write a joke that is still funny in 100 years, you are great.”","['Books and Literature', 'Writing and Writers', 'Content Type: Personal Profile']",1305
2021-07-01,Real Estate,"Rents Were Down, but Could They Afford the West Village? These Were Their Options.","Stuck in a studio during the pandemic, a couple tested the soft Manhattan rental market, in search of more space and a few conveniences. Which place would you choose?","Stuck in a studio during the pandemic, a couple tested the soft Manhattan rental market, in search of more space and a few conveniences. Which place would you choose?","['Real Estate and Housing (Residential)', 'Renting and Leasing (Real Estate)', 'Quarantine (Life and Culture)', 'Content Type: Personal Profile']",0
2021-07-01,Books,Books Are Forever. Best Sellers Are Fleeting.,"Here’s a look at novels selling like gangbusters in the second week of July, all the way back to 1971.","LOOK BACK IN LANGUOR July is a month for retro pleasures — kites, badminton, snow cones and water balloons, to name a few. So why do so many of us reach for books that are hot off the presses? I decided to pay a visit to best-seller lists of yore to find out what shiny penny novels were flying off the shelves 10, 20, 30, 40 and 50 years ago this week.",['Books and Literature'],428
2021-07-01,Magazine,Poem: Tonight,"The ghazal is an M.C.’s form: repeating words, a rhyme scheme and self-referential. The good ones become like a prayer.","The ghazal is an M.C.’s form: repeating words, a rhyme scheme, the self-referential last line that signals the end of the bars. When done right, every single line is a prayer. I learned the form from Shahid, when I was in prison and he was already living only in verse. I’d long been telling men to call me by the name of a man I’d never met, already near begging that “G-d, limit these punishments, there’s still Judgment Day/I’m a mere sinner, I’m no infidel tonight.” Selected by Reginald Dwayne Betts","['Poetry and Poets', 'Prisons and Prisoners', 'Prayers and Prayer Books']",359
2021-07-01,Opinion,Why ‘Amtrak Joe’ Should Pull Back on Train Funding,The president wants to pour billions more into a service that makes sense only in a few areas.,"Ah, the romantic suspense of train travel: Cary Grant and Eva Marie Saint canoodling in “North by Northwest.” Farley Granger and Robert Walker conspiring in “Strangers on a Train.” While long-haul railroads have a beloved place in our history, Americans almost entirely abandoned them more than a half century ago for the greater convenience of cars and the speed of planes.","['American Jobs Plan (2021)', 'Railroads', 'Infrastructure (Public Works)']",820
2021-07-01,Magazine,Judge John Hodgman on the Gendering of Sipping Straws,A mother-in-law takes a jab at her son-in-law’s drinking preferences.,"Johnmark writes: I once sipped my beverage at dinner with a straw, and my mother-in-law commented, “I’ve always thought using a straw was unmanly.” I had never heard of this. I enjoy a straw. I seek the judge’s ruling whether there are superior ways to enjoy a beverage.","['Comedy and Humor', 'Alcoholic Beverages']",146
2021-07-01,Opinion,The Chinese Communist Party Is 100. It’s Not Going Anywhere.,The country’s Communist Party rule is stronger than ever.,"On July 1, the Chinese Communist Party celebrates its centenary. Those in the West who are banking on its demise are sorely mistaken. Because while the party may have committed some significant missteps throughout its rule, it is still a formidable force that will remain a threat to the United States and Western allies for years to come.",[],1236
2021-07-01,Opinion,Biden’s Chief of Staff Is Worried About ‘Everything.’ Except the Midterms.,"Ron Klain discusses the infrastructure bill, the White House pandemic response and why he’ll “let Republicans deal with Donald Trump.”","As the White House chief of staff, Ron Klain helps determine how the president spends scarce resources like time and political capital.","['audio-neutral-informative', 'United States Politics and Government', 'Law and Legislation', 'Coronavirus (2019-nCoV)']",296
2021-07-01,Times Insider,Showing Migrants Through a New Lens: Their Own,"As many waited on the U.S.-Mexican border, hoping to enter the United States despite the government’s message to stay away, a photographer let them be seen on their own terms.","Migrants seeking to enter the United States today find themselves in a difficult position: They have been told by the government not to come, but many feel they need to flee the conditions they face in their home countries. To add context to this complicated issue, the Brooklyn-based freelance photographer Adam Ferguson asked migrants at shelters on the Mexican side of the U.S.-Mexico border to take self-portraits this spring (with some guidance from him), giving them a chance to express themselves visually.","['Photography', 'Immigration and Emigration', 'Cameras']",896
2021-07-01,Opinion,Maybe Trump Wasn’t the Worst President Ever?,"He hasn’t dislodged James Buchanan from the bottom ranking, but history is unlikely to be kind to him.","During his presidency, John F. Kennedy, perhaps with a wary eye on the future, met with David Herbert Donald, a biographer of Abraham Lincoln, and expressed his displeasure with historians’ presidential rankings.","['Presidents and Presidency (US)', 'United States Politics and Government', 'Storming of the US Capitol (Jan, 2021)']",840
2021-07-01,Opinion,What the Supreme Court Did for Religion,The court has become more open to claims of government regulations impeding religion. ,"After the Supreme Court wraps up its pending business on Thursday, there will be plenty to discuss and debate about a term that seems to have confounded many people’s expectations. I’ll leave that conversation for the coming days. For now, I want to explore one of the week’s overlooked developments for what it might tell us about what happened beneath the surface on a subject of great import this term.","['Religion-State Relations', 'Decisions and Verdicts', 'Santeria Faith', 'Suits and Litigation (Civil)', 'Freedom of Religion']",1342
2021-07-01,World,"Digital vaccination cards go into effect in Europe, with some turbulence.","“This can only work for travelers if member states implement it in a harmonized way,” said an official representing Europe’s largest air carriers.","Digital Covid-19 certificates aimed at facilitating free movement in the European Union came into force across the bloc on Thursday, a long-awaited milestone for countries hoping to boost their ailing tourism industries — but also a point of friction over the number of vaccines that do not qualify.","['Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Travel and Vacations']",529
2021-07-01,Magazine,Is There a Right Way to Act Blind?,Activists slammed the TV show “In the Dark” for casting a sighted actress in a blind lead role. But what if blindness is a performance of its own?,"To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.","['Blindness', 'Actors and Actresses', 'Television', 'Disabilities']",5041
2021-07-01,Business Day,Knowing What Your Co-Worker Makes Doesn’t Close the Pay Gap,Salary transparency is intended to help address inequities. But making the number public doesn’t seem to move the needle.,"Carolyn Kopprasch earns $225,000 a year. Maria Thomas makes $267,890. Then comes Darcy Peters with a salary of $105,143.","['Wages and Salaries', 'Income Inequality', 'Discrimination', 'Women and Girls', 'Men and Boys', 'Labor and Jobs']",1431
2021-07-01,Arts,The Conductor Transforming Period Performance,"Mahler, Stravinsky, Debussy and more: François-Xavier Roth and his ensemble, Les Siècles, are pushing historically informed practice into the 20th century.","Think of the “period” or historically informed performance movement, and the mind probably turns to Monteverdi, Bach, Handel. The first advocates for performances on original instruments — post-World War II insurgents like Nikolaus Harnoncourt — concentrated their initial work on the Baroque and then Classical repertories, the music in which their findings were most audibly different compared with then-standard practices.","['Classical Music', 'Content Type: Personal Profile']",1614
2021-07-01,Opinion,There’s One Man to Blame for Bill Cosby’s Release,The roots of the Cosby reversal were years in the making.,"Due process matters, even for monstrous crimes.","['Law and Legislation', '#MeToo Movement', 'Sex Crimes', 'Self-Incrimination', 'Fourteenth Amendment (US Constitution)']",958
2021-07-01,Opinion,The Rest of the World Is Worried About America,"When experts from other countries look at “the oldest democracy,” they don’t like what they see. ","This weekend, American skies will be aflame with fireworks celebrating our legacy of freedom and democracy, even as Republican legislature after Republican legislature constricts the franchise and national Republicans have filibustered the expansive For The People Act. It will be a strange spectacle.","['Democracy (Theory and Philosophy)', 'Voter Registration and Requirements', 'United States Politics and Government', 'Law and Legislation', 'Politics and Government', 'Independence Day (US) (July 4)', 'Elections']",1371
2021-07-01,The Upshot,"For Surprise Medical Bills, It’s the Beginning of the End","Last winter, Congress banned a much-hated practice. Now regulators have to figure out exactly how to make the law work.",The Biden administration took its first steps Thursday toward finalizing the details of a ban on surprise medical bills that Congress passed and President Trump signed into law last winter. Some experts see the policy as the most important consumer protection in health care to come out of Washington in more than a decade.,"['Health Insurance and Managed Care', 'Law and Legislation', 'Consumer Protection', 'Emergency Medical Treatment', 'Regulation and Deregulation of Industry', 'Hospitals', 'Prices (Fares, Fees and Rates)']",1084
2021-07-01,Arts,"Bill Cosby’s Release From Prison, Explained",Here is a breakdown of the legal issues surrounding a Pennsylvania Supreme Court ruling that abruptly let the disgraced entertainer out of prison.,"The disgraced actor and comedian Bill Cosby walked free this week after three years in prison when the Pennsylvania Supreme Court threw out his 2018 convictions on charges of drugging and sexually assaulting Andrea Constand in 2004, when she was a Temple University employee.","['Criminal Justice', 'Decisions and Verdicts', 'Immunity from Prosecution', 'Self-Incrimination', 'Sex Crimes', '#MeToo Movement', 'Supreme Courts (State)', 'Constitution (US)', 'Content Type: Service']",991
2021-07-01,Science,Shrinking Elephants Once Called Sicily Home,"New research suggests that in as little as 40 generations, elephants could have become dwarf size on the island off Italy’s boot.","Elephants today are confined to the African and Asian continents. But their extinct relatives once roamed far and wide across the planet. When they settled onto islands, some species’ evolutionary course changed direction in a dramatic fashion.","['Elephants', 'Endangered and Extinct Species', 'Paleontology', 'Evolution (Biology)', 'Genetics and Heredity', 'Fossils', 'your-feed-science', 'your-feed-animals']",672
2021-07-01,Sports,"Physically and Mentally Taxed, Olympic Hopefuls Near the Finish","The pandemic year disrupted athletes’ training routines, leaving many depressed, anxious and seeking help.","EUGENE, Ore. — Sam Parsons felt that he was in the best shape of his life when he lined up for the start of the 5,000 meters at the Drake Relays in April. He had used the yearlong Olympic postponement to ramp up his training with the goal of competing for Germany at the Tokyo Games this summer.","['Olympic Games (2020)', 'Quarantine (Life and Culture)', 'Sports Injuries', 'Anxiety and Stress', 'Track and Field', 'Swimming', 'Mental Health and Disorders', 'Depression (Mental)']",1460
2021-07-01,New York,"A Covid Epicenter Hustles Back to Life: ‘What You See, It’s Survival’",The neighborhoods in Queens that reeled during the pandemic are buzzing. But recovery feels very far away.,"Every day along Roosevelt Avenue in Queens, people stream off the elevated subway into a swarm of activity. Vendors ring bells and shout in Spanish — “Masks! Water! Shaved ice!”— as smoke rises from grilling meat and cumbia music competes with the rumble of the train.","['Quarantine (Life and Culture)', 'Coronavirus (2019-nCoV)', 'Shutdowns (Institutional)', 'Labor and Jobs', 'Renting and Leasing (Real Estate)', 'Real Estate and Housing (Residential)', 'Unemployment', 'Evictions', 'Real Estate (Commercial)', 'Immigration and Emigration', 'Coronavirus Reopenings', 'audio-neutral-informative', 'audio-negative-tragedy']",1351
2021-07-01,Travel,"In Greece, It’s Almost Normal","In Athens and on the island of Paros, a visitor joins other international travelers in search of that idyllic European vacation they’ve been yearning for.","The plaster-cast heads of Dionysus were back. The unblinking blue Mati evil eyes and Parthenon refrigerator magnets hung once more outside the souvenir shops of Plaka and Monastiraki, where shopkeepers tended to rows upon rows of leather sandals, silver meander rings, dried spices and Cretan mountain tea. The tourists were back, too, if not quite so many as one might expect in the historic heart of Athens on a similarly brilliant, blue June day of years past.","['Travel and Vacations', 'Coronavirus Reopenings', 'Quarantine (Life and Culture)']",2459
2021-07-01,New York,What Happens to the ‘Weed Spot’ Now That Weed Is Legal?,New Yorkers on not having to sneak off to smoke marijuana.,"When recreational marijuana was legalized in New York State in March, much of the change was not immediate. But there was one instantly observable difference: While it is not yet legal to sell or buy marijuana in New York, smoking a joint on the street is not a crime anymore. As long as they observe the same restrictions as on cigarettes, smokers can pretty much spark up where they like.","['Marijuana', 'Law and Legislation', 'Black People', 'Blacks']",1549
2021-07-01,New York,What to Know About the Vote Tally Fiasco,A revised unofficial count of ranked-choice voting results suggested a tight race among the top three Democratic candidates for mayor., [Want to get New York Today by email? Here’s the sign-up.],"['Elections, Mayors', 'Absentee Voting', 'Sculpture']",1172
2021-07-01,Business Day,"Nissan plans a U.K. battery factory, a lift for the post-Brexit auto industry.","The Japanese carmaker will also make a new electric vehicle in England as part of a £1 billion investment, partly supported by the government.","The Japanese carmaker Nissan announced plans on Thursday to build a battery factory near its plant in northeastern England, and to manufacture a new electric crossover S.U.V. there, bolstering the chances that Britain’s auto industry can survive Brexit and the transition to electric vehicles.","['Automobiles', 'Electric and Hybrid Vehicles', 'Factories and Manufacturing', 'Great Britain Withdrawal from EU (Brexit)', 'International Trade and World Market', 'Batteries']",613
2021-07-01,World,"Marking Party’s Centennial, Xi Warns That China Will Not Be Bullied","A century after the Communist Party’s founding, China’s leader said foreign powers would “crack their heads and spill blood” if they tried to stop its rise.","China’s rise is unstoppable, Xi Jinping declared. The country will not be lectured. And those who try to block its ascent will hit a “Great Wall of steel.”",[],1458
2021-07-01,World,Indonesia announces restrictions for two major islands as the Delta variant spreads.,"Indonesia’s president, Joko Widodo, announced new restrictions on Thursday for parts of Java and Bali islands to contain the rapidly spreading Delta variant, including closing mosques, schools, shopping malls and sports facilities.","Indonesia’s president, Joko Widodo, announced new restrictions on Thursday for parts of Java and Bali islands to contain the rapidly spreading Delta variant, including closing mosques, schools, shopping malls and sports facilities.","['Shutdowns (Institutional)', 'Quarantine (Life and Culture)', 'Coronavirus (2019-nCoV)', 'Deaths (Fatalities)']",464
2021-07-01,Podcasts,A New Era in College Sports,"For more than a century, the N.C.A.A. banned student-athletes from earning money. That is about to change.","Throughout its 115-year history, the N.C.A.A.’s bedrock principle has been that student-athletes should be amateurs and not allowed to profit off their fame.","['College Athletics', 'Law and Legislation', 'audio-neutral-informative']",274
2021-07-01,Business Day,Automania at MoMA Balances Celebration and Criticism of Cars,"The exhibition opens on July Fourth, a holiday that has come to symbolize motorized freedom and parade-queen convertibles.","For many Americans, cars became a lifeline and refuge during the pandemic, even as newly sparkling air over locked-down cities highlighted their darker side. Soul-searching over commuting and climate change was balanced by hope that cars might clean up their act via electricity, and allow new generations to fall for their beauty and ingenuity.","['Automobiles', 'Art', 'Museums']",1453
2021-07-01,New York,Trump Organization Is Charged With Running 15-Year Employee Tax Scheme,The company was accused of helping its executives evade taxes on compensation by hiding luxury perks and bonuses.,"The Trump Organization, the real estate business that catapulted Donald J. Trump to tabloid fame, television riches and ultimately the White House, was charged Thursday with running a 15-year scheme to help its executives evade taxes by compensating them with fringe benefits that were hidden from the authorities.","['Tax Evasion', 'United States Politics and Government']",1927
2021-07-01,Briefing,The Mess in New York,We make sense of the mayoral election.,New York City released another round of results in the Democratic mayoral primary — and city officials insist that they’re accurate this time. They say they have resolved the “discrepancy” that caused them to report inaccurate results on Tuesday from their new ranked-choice voting system.,[],1680
2021-07-01,Movies,‘Scenes from an Empty Church’ Review: Cloistered Filmmaking,"This film, proudly shot and set during the pandemic, stars Kevin Corrigan and Thomas Jay Ryan as priests with different perspectives.","“Scenes From an Empty Church” stars three actors — Kevin Corrigan, Thomas Jay Ryan and Max Casella — who emerged as scene-stealers in the 1990s. But watching this proudly pandemic-shot and -set feature from Onur Tukel is like being returned to the locked-down days of 2020. In a decade, the film will serve as a time capsule. But right now, it feels redundant: a dramatization of arguments (about masks, the pandemic’s effects on New York and the value of applauding first-responders at 7 p.m.) that have circulated for too long.",['Movies'],293
2021-07-01,Movies,‘Being a Human Person’ Review: Watching a Surrealist,This documentary on the Swedish filmmaker Roy Andersson takes an unexpected turn.,"The Swedish filmmaker Roy Andersson began his feature career in the early 1970s with distinctive but conventionally linear narratives. Interview clips from his early fame, included in “Being a Human Person,” a new documentary directed by Fred Scott, show a fresh-faced, sometimes glib fellow seemingly poised for industry success.","['Documentary Films and Programs', 'Content Type: Personal Profile']",309
2021-07-01,Movies,‘Some of Our Stallions’ Review: At Least They Don’t Shoot Horses,The film poses the cause-and-effect question about toxic masculinity and unhinged behavior.,"No equine beasts adorn this queasy comedy. Too bad. The title “Some of Our Stallions,” parodies, one presumes, the self-aggrandizing language certain American males apply to themselves. The would-be “stallions” here are a couple of misfits. Carson Mell, who plays a burly, bearded guy who insists on being addressed as “Beautiful Bill,” wrote and directed the movie and has a starring role alongside Al Di, also a producer, who plays the fast-talking Andy. In the opening scene, Bill, in a fast-food restaurant meltdown, dunks his hands into the hot oil of a deep fryer.",['Movies'],298
2021-07-01,Movies,‘No Sudden Move’ Review: Don’t Forget the Motor City,"Don Cheadle and Benicio Del Toro star in Steven Soderbergh’s new film, a Detroit-set period thriller with a lot on its mind.","On an ordinary Monday morning in Detroit, three masked men show up at a handsome brick house on a tree-lined street. Once inside, two of them hold a mother and her children at gunpoint while their colleague accompanies the man of the house, a midlevel accountant at General Motors, on an urgent errand. It’s the mid-1950s, which means the cars are big and curvy, the men mostly wear hats and neckties, and the women are mostly wives, secretaries or mistresses.",['Movies'],761
2021-07-01,Movies,‘Cousins’ Review: The Ties That Bind,This sprawling drama breathes cinematic life into the 1992 novel by Patricia Grace about the diverging paths of three Maori cousins in New Zealand.,"The Maori family at the heart of “Cousins” greet each other by pressing their foreheads and noses together. The camera does the same: It peers deep into the characters’ faces, as if imprinting them onto its lens.","['Maori', 'Movies', 'Women and Girls']",283
2021-07-01,Movies,‘915: Hunting Hispanics’ Review: Anatomy of an American Killing,"Charlie Minn’s tactical breakdown zeros in on a mass shooting at an El Paso, Texas, Walmart that killed 23 people.","On the morning of Aug. 3, 2019, a man armed with an automatic rifle entered a Walmart in El Paso, Texas, shooting 46 people in the span of six minutes. Twenty-three people died as a result of their injuries. Many victims of the El Paso shooting identified as Latino, and in a manifesto, the shooter, Patrick Crusius, had explicitly stated his animus against people of Mexican origin. In the documentary “915: Hunting Hispanics” (the number is the El Paso area code), survivors share their memories of that catastrophic morning.","['Documentary Films and Programs', 'El Paso, Tex, Shooting (2019)', 'Hispanic-Americans', 'Mass Shootings']",299
2021-07-01,Sports,"Bare Feet, Beer and Heavy Metal Bangers: Golf Chills Out and Gets Cool",Traditional golf is increasingly seen as old and stuck in its ways. But imaginative takes on the sport are making it more fun and attracting new players.,"Golf is one of the world’s oldest sports, with treasured traditions honed across several centuries. But increasingly over the last decade, many people have come to see golf as just plain old. And not in a good way.","['Golf', 'Bars and Nightclubs', 'Dress Codes', 'Country Clubs', 'Sporting Goods and Equipment']",2068
2021-07-01,U.S.,17 Are Wounded After Seized Explosives Blow Up in Los Angeles,"The explosion happened during what was supposed to be a controlled detonation of improvised explosives that the police had confiscated from a residential property, the authorities said.","Seventeen people, including 10 law enforcement officers, were wounded on Wednesday when part of a cache of improvised explosives blew up in South Los Angeles during what was supposed to be a controlled detonation by police bomb squad technicians, the authorities said. One man was taken into custody and charged.","['Fireworks', 'Explosions (Accidental)', 'Bombs and Explosives']",791
2021-07-01,Business Day,Time to increase oil production? OPEC and its allies are unable to decide.,"For more than a year, OPEC Plus has kept a tight grip on oil production, helping to lift prices by around 85 percent since November.","Officials from OPEC, Russia and their allies failed to reach agreement on Thursday on whether to ease the output quotas that have helped drive up oil prices to their highest levels since 2018. On Thursday, the oil ministers met by videoconference but were unable to reach a decision.","['Oil (Petroleum) and Gasoline', 'Production', 'Economic Conditions and Trends']",487
2021-07-01,Business Day,Robinhood Looks Beyond Its Big Fine,The $70 million punishment clears the deck for the trading app’s I.P.O.,"Robinhood racked up another big fine yesterday, this time from the financial industry regulator known as FINRA. It’s the latest blow to the online brokerage, which has faced a series of accusations of misleading and marooning customers. But the company sees an upside to its latest legal run-in, too: It believes it has resolved lingering issues enough to move forward with its long-anticipated I.P.O.","['Antitrust Laws and Competition Issues', 'Initial Public Offerings', 'Wages and Salaries']",1784
2021-07-01,U.S.,Tropical Storm Elsa Weakens Before Expected Landfall in Florida,"The storm is expected to make landfall along the Gulf Coast in northern Florida on Wednesday, bringing heavy rain and gusty winds.","Tropical Storm Elsa, which weakened overnight from a Category 1 hurricane, was expected to make landfall along Florida’s Gulf Coast by late Wednesday morning or early afternoon, the National Hurricane Center said.",['Hurricane Elsa (2021)'],565
2021-07-01,Arts,5 Things to Do This Weekend,Our critics and writers have selected noteworthy cultural events to experience virtually or in person in New York City.,"Have you ever wondered what goes inside the mind of marathon runners during the 26.2 miles it takes to reach the finish line? If so, the writer Melanie Jones grants you access to the thoughts of a first-time runner in “Endure.” The site-specific performance in Central Park has audience members wear audio devices as they trek three miles (at their own pace) along with a marathon runner (Casey Howes or Mary Cavett) and listen to their inner monologue.","['Quarantine (Life and Culture)', 'Independence Day (US) (July 4)']",836
